City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
punta arenas,40,CL,1579909950,76,-53.15,-70.92,48.2,12.75
maceio,75,BR,1579909950,78,-9.67,-35.74,80.6,5.82
kysyl-syr,60,RU,1579909950,98,63.9,122.76,-42.11,6.64
beyneu,98,KZ,1579909950,84,45.32,55.2,26.82,12.53
christchurch,84,NZ,1579909737,69,-43.53,172.63,91.0,6.93
mount pleasant,90,US,1579909951,100,32.79,-79.86,63.0,6.58
arlit,97,NE,1579909951,9,18.74,7.39,69.87,8.05
luau,100,AO,1579909951,97,-10.71,22.22,66.38,3.38
castro,1,BR,1579909263,95,-24.79,-50.01,60.15,5.03
koindu,79,GN,1579909951,26,8.44,-10.33,71.49,0.74
hobyo,63,SO,1579909952,84,5.35,48.53,78.21,14.79
mataura,93,NZ,1579909952,72,-46.19,168.86,64.99,8.01
kahului,40,US,1579909952,61,20.89,-156.47,82.4,13.87
kijang,75,KR,1579909952,70,35.24,129.21,46.4,8.05
kattivakkam,20,IN,1579909952,94,13.22,80.32,73.99,5.23
pevek,13,RU,1579909952,95,69.7,170.31,-26.23,2.39
hobart,75,AU,1579909953,40,-42.88,147.33,72.0,20.8
bluff,79,NZ,1579909953,72,-46.6,168.33,64.99,8.01
namibe,21,AO,1579909953,75,-15.2,12.15,74.73,9.04
jasper,90,US,1579909691,86,37.2,-94.35,34.0,10.85
bathsheba,20,BB,1579909347,83,13.22,-59.52,78.8,13.87
comodoro rivadavia,73,AR,1579909954,29,-45.87,-67.5,78.8,21.92
gamba,88,GA,1579909954,84,-2.65,10.0,78.57,1.54
ankang,92,CN,1579909954,88,32.68,109.02,30.79,2.33
kutum,0,SD,1579909431,31,14.2,24.67,41.16,5.68
coralville,90,US,1579909775,96,41.68,-91.58,34.0,10.29
new norfolk,75,AU,1579909955,40,-42.78,147.06,72.0,20.8
guerrero negro,100,MX,1579909955,49,27.98,-114.06,66.9,9.91
port macquarie,40,AU,1579909955,78,-31.43,152.92,90.0,6.96
shingu,75,JP,1579909955,61,33.73,135.98,48.2,9.17
kapaa,1,US,1579909955,65,22.08,-159.32,80.6,6.93
tuktoyaktuk,90,CA,1579909956,77,69.45,-133.04,-2.2,13.87
jinchang,11,CN,1579909956,63,38.5,102.17,16.92,2.77
san rafael,2,AR,1579909716,19,-34.62,-68.33,84.61,7.05
jamestown,90,US,1579909844,93,42.1,-79.24,45.0,11.41
east london,78,ZA,1579909958,75,-33.02,27.91,75.31,2.8
carnarvon,0,AU,1579909838,69,-24.87,113.63,78.8,11.41
chuy,0,UY,1579909958,76,-33.7,-53.46,71.94,10.69
bunia,71,CD,1579909958,42,1.57,30.25,73.22,3.44
laguna,1,US,1579909535,77,38.42,-121.42,66.2,5.82
nantucket,1,US,1579909394,93,41.28,-70.1,39.2,6.93
isangel,31,VU,1579909959,79,-19.55,169.27,79.21,10.33
chapais,20,CA,1579909777,92,49.78,-74.85,6.8,3.36
ibia,90,BR,1579909959,100,-19.48,-46.54,71.01,6.93
umm lajj,3,SA,1579909959,62,25.02,37.27,55.35,12.97
camacha,40,PT,1579909959,67,33.08,-16.33,59.0,14.99
astorga,20,BR,1579909960,78,-23.23,-51.67,78.8,9.17
hirara,75,JP,1579909960,94,24.8,125.28,71.6,6.93
narsaq,100,GL,1579909960,79,60.92,-46.05,21.2,11.41
kamaishi,40,JP,1579909960,48,39.27,141.88,32.0,6.93
makokou,50,GA,1579909960,84,0.57,12.86,71.51,3.06
bambanglipuro,97,ID,1579909377,79,-7.95,110.28,79.45,3.94
longyearbyen,20,SJ,1579909961,45,78.22,15.64,3.2,32.21
provideniya,77,RU,1579909403,95,64.38,-173.3,-7.49,5.08
port alfred,39,ZA,1579909961,91,-33.59,26.89,64.0,1.01
matagami,40,CA,1579909961,92,49.75,-77.63,10.4,5.17
thompson,20,CA,1579909961,85,55.74,-97.86,17.6,5.82
arraial do cabo,75,BR,1579909962,94,-22.97,-42.03,73.4,13.24
albany,1,US,1579909891,51,42.6,-73.97,36.0,3.36
skaudvile,100,LT,1579909962,84,55.42,22.62,41.85,15.61
qaanaaq,0,GL,1579909962,49,77.48,-69.36,-7.17,9.57
mogadishu,72,SO,1579909962,85,2.04,45.34,81.01,24.11
srednekolymsk,100,RU,1579909388,95,67.45,153.68,-35.0,5.57
xiongyue,0,CN,1579909962,41,40.18,122.12,21.06,0.54
boende,99,CD,1579909963,38,-0.22,20.87,71.26,2.01
clyde river,5,CA,1579909963,68,70.47,-68.59,-16.6,6.93
vestmannaeyjar,100,IS,1579909963,81,63.44,-20.27,38.46,38.54
ambunti,69,PG,1579909963,84,-4.24,142.84,82.18,3.51
mar del plata,20,AR,1579909844,78,-38.0,-57.56,77.0,4.7
florianopolis,20,BR,1579909964,78,-27.61,-48.5,75.2,11.41
iqaluit,20,CA,1579909122,67,63.75,-68.51,-25.01,9.17
lebu,12,CL,1579909964,50,-37.62,-73.65,60.96,12.44
sirur,52,IN,1579909964,48,18.83,74.38,66.43,5.97
klaksvik,100,FO,1579909964,100,62.23,-6.59,39.2,16.11
sola,14,VU,1579909476,79,-13.88,167.55,81.99,13.67
parainen,36,FI,1579909964,64,60.3,22.3,37.99,13.87
cape town,40,ZA,1579909965,93,-33.93,18.42,66.0,4.7
gorele,40,TR,1579909965,47,41.03,39.0,37.4,17.22
saint george,1,US,1579909768,44,37.1,-113.58,57.2,4.7
oranjemund,0,NA,1579909966,87,-28.55,16.43,64.56,1.3
half moon bay,40,US,1579909966,87,37.46,-122.43,66.2,9.17
sao filipe,1,CV,1579909966,65,14.9,-24.5,72.66,14.0
gorlice,2,PL,1579909966,89,49.66,21.16,28.0,4.16
trincomalee,32,LK,1579909371,96,8.57,81.23,71.11,2.82
armizonskoye,4,RU,1579909967,96,55.95,67.67,0.05,9.93
fukue,75,JP,1579909967,71,32.69,128.84,55.4,11.41
bronte,20,IT,1579909967,87,37.79,14.83,57.99,4.7
rincon,90,US,1579909968,93,32.3,-81.24,64.4,3.36
payakumbuh,74,ID,1579909968,98,-0.22,100.63,68.7,2.01
yellowknife,75,CA,1579909968,84,62.46,-114.35,5.0,10.29
ribeira grande,100,PT,1579909968,86,38.52,-28.7,56.7,14.65
dumas,1,US,1579909968,40,35.87,-101.97,62.6,5.82
deder,100,ET,1579909968,90,9.32,41.45,61.88,2.91
victoria,40,HK,1579909117,82,22.29,114.16,72.0,13.87
zhanaozen,31,KZ,1579909969,53,43.3,52.8,25.84,15.1
mehamn,96,NO,1579909969,84,71.04,27.85,17.1,2.71
cozumel,75,MX,1579909946,69,20.51,-86.95,77.0,6.93
faanui,3,PF,1579909970,78,-16.48,-151.75,82.33,13.11
chokurdakh,0,RU,1579909970,96,70.63,147.92,-35.1,3.31
khatanga,73,RU,1579909390,89,71.97,102.5,-23.94,8.55
bredasdorp,23,ZA,1579909970,88,-34.53,20.04,68.0,1.99
seoul,40,KR,1579909414,75,37.57,126.98,32.0,1.77
bundi,0,IN,1579909970,34,25.44,75.64,51.64,3.29
havre-saint-pierre,1,CA,1579909971,77,50.23,-63.6,-2.2,2.24
asau,1,RO,1579909464,92,46.43,26.4,21.2,4.7
aykhal,75,RU,1579909896,74,66.0,111.5,-25.6,6.71
bathurst,78,AU,1579909726,47,-33.42,149.58,81.0,6.22
bijie,100,CN,1579909683,99,27.31,105.29,32.81,5.75
irbeyskoye,100,RU,1579909972,81,55.64,95.45,25.2,3.18
shimoda,40,JP,1579909972,67,34.67,138.95,50.0,17.22
norman wells,90,CA,1579909972,70,65.28,-126.83,-5.8,6.93
hithadhoo,69,MV,1579909972,77,-0.6,73.08,83.26,11.88
aksarka,97,RU,1579909973,96,66.56,67.8,2.05,4.25
souillac,75,MU,1579909973,100,-20.52,57.52,80.01,12.75
geraldton,52,AU,1579909205,63,-28.77,114.6,66.2,11.41
nanakuli,75,US,1579909973,57,21.39,-158.15,80.6,11.41
batticaloa,85,LK,1579909973,91,7.71,81.69,72.14,3.13
saskylakh,100,RU,1579909974,91,71.92,114.08,-26.16,23.82
riyadh,0,SA,1579909841,40,24.69,46.72,51.8,4.7
tiksi,0,RU,1579909400,85,71.69,128.87,-32.19,6.02
port lincoln,0,AU,1579909974,58,-34.73,135.87,70.59,6.35
hambantota,37,LK,1579909907,76,6.12,81.12,79.32,22.15
bambous virieux,75,MU,1579909975,100,-20.34,57.76,80.01,12.75
hasaki,75,JP,1579909715,52,35.73,140.83,41.0,8.05
kodiak,90,US,1579909975,57,57.79,-152.41,19.4,16.11
entre rios,100,BR,1579909975,96,-11.94,-38.08,74.14,3.13
karauli,10,IN,1579909975,43,26.5,77.02,50.95,3.09
invermere,99,CA,1579909976,98,50.52,-116.04,32.02,2.84
balabac,0,PH,1579909976,79,7.99,117.06,81.27,8.55
tatvan,89,TR,1579909976,77,38.51,42.28,18.59,6.58
la ronge,40,CA,1579909976,73,55.1,-105.28,24.8,3.36
tucuman,21,AR,1579909976,55,-26.82,-65.22,87.8,1.45
luderitz,0,NA,1579909408,88,-26.65,15.16,68.0,4.7
grand gaube,75,MU,1579909976,100,-20.01,57.66,80.01,12.75
moose factory,90,CA,1579909977,72,51.26,-80.61,17.6,5.82
husavik,20,IS,1579909977,68,66.04,-17.34,30.2,13.87
bubaque,93,GW,1579909977,66,11.28,-15.83,79.14,11.5
georgetown,20,MY,1579909977,69,5.41,100.34,78.8,4.7
progreso,90,MX,1579909977,69,21.28,-89.67,75.2,6.93
gari,22,RU,1579909977,94,59.43,62.35,3.36,7.54
torbay,5,CA,1579909380,62,47.67,-52.73,23.0,9.17
sao borja,0,BR,1579909889,51,-28.66,-56.0,73.85,5.73
tasiilaq,100,GL,1579909471,45,65.61,-37.64,23.0,25.28
saint-augustin,2,CA,1579909484,73,51.23,-58.65,5.59,9.86
tarakan,95,ID,1579909979,85,3.3,117.63,78.58,4.38
nome,1,US,1579909979,69,64.5,-165.41,-9.0,3.36
ilulissat,100,GL,1579909391,52,69.22,-51.1,15.8,13.87
racconigi,40,IT,1579909979,80,44.77,7.68,42.01,2.24
adiake,20,CI,1579909979,89,5.29,-3.3,84.2,5.82
port blair,62,IN,1579909979,77,11.67,92.75,79.29,17.02
puerto baquerizo moreno,20,EC,1579909979,78,-0.9,-89.6,80.6,11.41
jacareacanga,100,BR,1579909978,79,-6.22,-57.75,78.89,1.1
da lat,79,VN,1579909980,88,11.95,108.44,57.67,1.57
ponta do sol,20,PT,1579909980,54,32.67,-17.1,59.0,12.75
dongsheng,0,CN,1579909446,66,39.82,109.98,12.88,0.92
loei,100,TH,1579909980,83,17.42,101.5,69.8,3.36
atbasar,95,KZ,1579909981,94,51.8,68.33,11.44,9.84
taltal,5,CL,1579909981,81,-25.4,-70.48,69.76,1.25
dawei,100,MM,1579909981,73,14.08,98.2,75.97,5.59
vila franca do campo,75,PT,1579909981,76,37.72,-25.43,55.4,3.36
dikson,100,RU,1579909982,96,73.51,80.55,-3.84,9.04
high level,90,CA,1579909982,100,58.52,-117.14,19.4,3.36
constitucion,0,CL,1579909583,60,-35.33,-72.42,60.73,10.07
uige,100,AO,1579909982,97,-7.61,15.06,67.3,2.24
saint anthony,90,US,1579909804,97,45.02,-93.22,33.01,6.93
brownsville,40,US,1579909983,52,25.9,-97.5,69.8,8.05
anadyr,90,RU,1579909564,84,64.75,177.48,5.0,4.47
jalu,0,LY,1579909572,65,29.03,21.55,53.01,6.26
baracoa,0,CU,1579909523,58,20.35,-74.5,75.18,5.99
lamar,1,US,1579909983,66,33.67,-95.58,53.6,3.36
severo-kurilsk,83,RU,1579909983,90,50.68,156.12,15.94,37.67
rajauri,100,IN,1579909984,87,33.38,74.3,29.39,1.57
sitka,75,US,1579909500,56,57.05,-135.33,33.8,8.05
coruripe,92,BR,1579909833,79,-10.13,-36.18,81.03,13.69
naze,75,JP,1579909984,93,28.37,129.48,66.2,2.24
sept-iles,20,CA,1579909694,77,50.2,-66.38,1.4,3.36
huarmey,55,PE,1579909984,61,-10.07,-78.15,75.96,5.08
auki,51,SB,1579909464,71,-8.77,160.7,84.58,7.76
phetchaburi,86,TH,1579909985,78,12.97,99.58,77.0,3.36
poum,47,NC,1579909985,76,-20.23,164.02,79.54,15.37
vung tau,49,VN,1579909985,78,10.35,107.08,76.26,12.5
zhigansk,58,RU,1579909985,96,66.77,123.37,-44.25,9.91
santa cruz,20,BO,1579909959,58,-17.8,-63.17,86.0,10.29
cherskiy,53,RU,1579909397,95,68.75,161.3,-34.49,3.0
bethel,5,US,1579909389,69,41.37,-73.41,42.8,4.65
cherepanovo,100,RU,1579909986,83,54.22,83.38,26.76,14.09
karratha,9,AU,1579909986,73,-20.74,116.85,84.42,3.06
hamilton,40,US,1579909240,86,39.18,-84.53,45.0,4.45
kathu,20,TH,1579909987,88,7.92,98.33,75.2,2.24
port-gentil,20,GA,1579909987,94,-0.72,8.78,82.4,4.7
rocha,0,UY,1579909428,70,-34.48,-54.33,69.62,1.83
sambava,99,MG,1579909510,98,-14.27,50.17,71.89,2.15
port elizabeth,26,ZA,1579909987,88,-33.92,25.57,66.2,9.17
stara vyzhivka,78,UA,1579909988,77,51.44,24.44,33.1,14.56
ullapool,100,GB,1579909988,88,57.9,-5.16,48.0,14.0
avera,90,US,1579909988,94,33.19,-82.53,60.8,5.08
raymondville,1,US,1579909988,49,26.48,-97.78,73.4,12.75
newport news,90,US,1579909791,82,36.98,-76.43,59.0,8.05
iquitos,40,PE,1579909783,88,-3.75,-73.25,80.6,4.7
suwannaphum,20,TH,1579909989,83,15.6,103.8,73.4,4.7
fortuna,90,US,1579909431,87,40.6,-124.16,62.01,5.73
yershov,100,RU,1579909989,92,51.35,48.28,22.73,21.36
khandyga,81,RU,1579909521,97,62.67,135.6,-43.37,1.28
gallipoli,0,TR,1579909990,64,40.41,26.67,43.63,9.1
portland,90,US,1579909501,81,45.52,-122.68,55.99,4.7
songjianghe,30,CN,1579909990,76,42.19,127.48,6.58,4.74
zyryanka,100,RU,1579909990,98,65.75,150.85,-27.38,4.92
lavrentiya,0,RU,1579909774,76,65.58,-171.0,-15.09,2.13
saldanha,0,ZA,1579909444,82,-33.01,17.94,66.2,11.41
xai-xai,0,MZ,1579909991,86,-25.05,33.64,69.33,3.85
kangaatsiaq,100,GL,1579909991,75,68.31,-53.46,18.88,16.13
constantine,0,DZ,1579909991,74,36.37,6.61,35.6,3.24
humboldt,90,US,1579909991,87,40.67,-123.92,62.01,5.73
santiago de cao,40,PE,1579909992,83,-7.96,-79.24,77.0,11.41
tomatlan,79,MX,1579909992,68,19.93,-105.25,75.54,5.14
aquin,53,HT,1579909992,77,18.28,-73.4,72.32,2.66
corinto,20,GR,1579909992,86,37.94,22.96,46.0,2.71
walvis bay,0,NA,1579909992,93,-22.96,14.51,64.99,1.12
diego de almagro,81,CL,1579909993,62,-26.37,-70.05,70.23,8.21
kruisfontein,0,ZA,1579909214,87,-34.0,24.73,65.95,5.93
flinders,80,AU,1579909993,22,-34.58,150.86,82.0,8.01
calama,75,CL,1579909993,55,-22.47,-68.93,66.2,14.99
elizabeth city,40,US,1579909994,93,36.29,-76.25,59.0,17.0
dalbandin,1,PK,1579909994,83,28.89,64.41,53.44,5.55
andapa,78,MG,1579909488,97,-14.65,49.65,64.47,2.24
watrous,100,CA,1579909994,94,51.67,-105.47,25.93,7.56
upernavik,85,GL,1579909995,95,72.79,-56.15,-14.37,4.21
beringovskiy,100,RU,1579909436,95,63.05,179.32,6.21,8.95
denpasar,20,ID,1579909837,83,-8.65,115.22,82.4,3.36
ardakan,0,IR,1579909996,64,32.31,54.02,33.8,6.93
hirado,75,JP,1579909996,81,33.36,129.55,53.6,9.17
hofn,100,IS,1579909426,97,64.25,-15.21,35.92,32.77
ngunguru,0,NZ,1579909996,73,-35.62,174.5,81.0,5.99
sakakah,6,SA,1579909996,49,29.97,40.21,37.4,11.41
hualmay,72,PE,1579909996,65,-11.1,-77.61,74.62,5.88
ambulu,54,ID,1579909996,80,-8.35,113.61,80.64,4.85
qaqortoq,100,GL,1579909997,79,60.72,-46.03,21.2,11.41
bulri,5,PK,1579909997,45,24.87,68.33,59.16,3.71
lanzhou,0,CN,1579909997,91,36.06,103.79,12.99,6.71
impfondo,99,CG,1579909997,29,1.64,18.07,67.17,1.83
southbridge,1,US,1579909997,69,42.08,-72.03,39.2,8.05
omboue,28,GA,1579909998,93,-1.57,9.26,75.94,2.35
grindavik,90,IS,1579909197,100,63.84,-22.43,32.0,31.09
bengkulu,98,ID,1579909998,94,-3.8,102.27,74.55,3.11
valparaiso,75,CL,1579909776,93,-33.04,-71.63,62.6,9.17
namatanai,5,PG,1579909575,74,-3.67,152.43,84.74,12.91
semey,100,KZ,1579909998,79,50.41,80.23,32.31,19.73
abu samrah,0,SY,1579909999,56,35.3,37.18,34.16,3.51
harwich,75,GB,1579909999,93,51.94,1.28,43.0,5.82
vidisha,0,IN,1579909999,46,23.53,77.82,53.11,4.03
chicama,40,PE,1579909999,83,-7.84,-79.15,77.0,11.41
bay roberts,5,CA,1579910000,62,47.6,-53.26,23.0,9.17
saint-pierre,100,RE,1579910000,100,-21.34,55.48,78.8,24.16
pangai,75,TO,1579910000,74,-19.8,-174.35,84.2,13.87
igrim,100,RU,1579909856,96,63.19,64.42,3.24,5.01
port hardy,75,CA,1579910000,93,50.7,-127.42,50.0,4.7
margate,75,GB,1579910000,93,51.38,1.39,44.01,5.82
dingle,3,PH,1579910001,85,11.0,122.67,78.21,7.94
lompoc,1,US,1579910001,37,34.64,-120.46,75.0,12.75
mayumba,96,GA,1579910001,74,-3.43,10.66,82.94,3.18
great falls,75,US,1579910001,49,47.5,-111.3,48.2,24.16
vao,31,NC,1579910001,81,-22.67,167.48,77.43,19.82
karasjok,75,NO,1579910001,92,69.47,25.51,19.4,9.17
omsukchan,100,RU,1579910002,98,62.53,155.8,-33.7,9.06
evensk,100,RU,1579910002,95,61.95,159.23,-1.53,19.1
linhai,100,CN,1579910002,85,28.85,121.12,51.01,2.82
palora,75,EC,1579910002,88,-1.7,-77.93,71.6,2.24
tura,0,IN,1579910002,62,25.52,90.22,51.55,2.1
vestmanna,100,FO,1579910002,100,62.16,-7.17,39.2,16.11
chapleau,90,CA,1579910003,92,47.84,-83.4,28.4,5.82
nyimba,62,ZM,1579910003,93,-14.56,30.81,64.04,7.56
katobu,3,ID,1579910003,79,-4.94,122.53,82.13,0.89
muros,20,ES,1579910003,93,42.78,-9.06,50.0,2.08
san patricio,20,MX,1579910004,74,19.22,-104.7,82.4,13.87
katangli,100,RU,1579910004,91,51.71,143.23,0.41,9.57
mayo,40,US,1579910004,87,38.89,-76.51,51.01,9.17
pistsovo,75,RU,1579910004,91,57.18,40.53,32.0,11.18
aranos,12,NA,1579910004,35,-24.13,19.12,74.95,8.05
araxa,90,BR,1579909744,100,-19.59,-46.94,68.0,6.93
haapiti,40,PF,1579910005,66,-17.57,-149.87,87.8,3.36
saint-ambroise,40,CA,1579910005,92,48.55,-71.33,10.0,1.05
esil,93,KZ,1579910005,95,51.96,66.4,5.9,7.56
kaitangata,86,NZ,1579910006,92,-46.28,169.85,57.51,13.42
katherine,75,AU,1579910006,78,-14.47,132.27,82.4,10.29
charagua,96,BO,1579910006,40,-19.8,-63.22,86.0,6.33
trairi,66,BR,1579909592,78,-3.28,-39.27,77.45,3.83
kawalu,100,ID,1579910006,87,-7.38,108.21,73.72,2.04
belaya kholunitsa,99,RU,1579910006,94,58.84,50.85,12.27,8.66
bafra,75,TR,1579910007,69,41.57,35.91,32.0,5.82
gualeguay,34,AR,1579910007,33,-33.14,-59.31,82.74,6.58
college,75,US,1579910007,70,64.86,-147.8,1.4,8.05
sorland,56,NO,1579909719,61,67.67,12.69,37.17,27.25
pochutla,5,MX,1579910008,61,15.74,-96.47,82.4,6.93
cockburn town,0,TC,1579910008,61,21.46,-71.14,76.6,9.31
athabasca,98,CA,1579909585,89,54.72,-113.29,28.09,3.15
fairfield,1,US,1579909837,64,41.27,-73.32,42.8,4.65
kasongo-lunda,80,CD,1579909511,90,-6.47,16.82,71.2,1.16
solnechnyy,87,RU,1579910008,78,50.72,136.63,-10.5,1.43
lecce,75,IT,1579910008,81,40.22,18.17,55.99,8.05
manicore,100,BR,1579910009,97,-5.81,-61.3,74.61,2.06
vila,13,PT,1579909527,93,42.03,-8.16,50.0,1.12
tromso,75,NO,1579910009,86,69.65,18.96,28.4,9.17
eyl,100,SO,1579910009,84,7.98,49.82,79.07,21.52
miranda,75,CO,1579910010,65,3.25,-76.23,80.6,11.41
soe,84,ID,1579910010,68,-9.86,124.28,81.91,0.87
cangucu,0,BR,1579910010,80,-31.39,-52.68,73.99,4.36
coquimbo,0,CL,1579909537,77,-29.95,-71.34,68.0,12.75
zimmi,86,SL,1579910010,92,7.32,-11.31,74.01,0.65
atar,100,MR,1579910010,17,20.52,-13.05,72.16,8.93
verkhniy mamon,100,RU,1579910010,90,50.16,40.38,30.13,18.66
alice springs,38,AU,1579909768,15,-23.7,133.88,80.6,16.11
muswellbrook,100,AU,1579910011,74,-32.27,150.9,79.0,5.01
whyalla,0,AU,1579910011,64,-33.03,137.58,69.8,9.17
san carlos,38,VE,1579910011,47,9.66,-68.58,82.76,9.08
nizhniy mamon,100,RU,1579910012,90,50.19,40.51,30.13,18.66
chippewa falls,90,US,1579909804,80,44.94,-91.39,35.6,5.82
yerbogachen,100,RU,1579909468,96,61.28,108.01,4.93,5.46
saint-maximin-la-sainte-baume,90,FR,1579910012,87,43.45,5.86,55.0,1.25
san cristobal,40,VE,1579910013,78,7.77,-72.22,78.8,2.24
cochabamba,40,BO,1579910013,29,-17.39,-66.16,75.2,13.87
ferkessedougou,81,CI,1579910013,12,9.6,-5.2,74.14,5.19
opotiki,2,NZ,1579910013,72,-38.08,177.28,87.01,5.01
turayf,0,SA,1579910013,100,31.67,38.66,30.2,17.22
sur,45,OM,1579910014,79,22.57,59.53,66.74,1.86
san pedro de macoris,20,DO,1579909877,88,18.46,-69.3,77.0,6.93
szydlowiec,15,PL,1579910014,84,51.23,20.86,33.01,10.0
bonavista,19,CA,1579909492,71,48.65,-53.11,23.0,11.01
xixiang,97,CN,1579910014,70,35.16,112.86,36.05,4.38
sistranda,40,NO,1579910014,80,63.73,8.83,35.6,26.4
nouadhibou,100,MR,1579910014,63,20.93,-17.03,64.4,16.11
jaggayyapeta,100,IN,1579910015,94,16.9,80.1,67.21,2.95
moyale,100,KE,1579910015,56,3.52,39.06,78.46,3.49
palmer,1,US,1579909911,55,42.16,-72.33,37.4,5.82
esperance,40,AU,1579909195,82,-33.87,121.9,66.2,9.17
qarchi gak,8,AF,1579910015,86,37.04,66.79,37.4,4.7
nova granada,40,BR,1579910016,61,-20.53,-49.31,80.6,2.24
watsa,93,CD,1579910016,41,3.04,29.54,63.68,1.92
phuket,20,TH,1579909716,88,8.0,98.25,75.2,14.07
biri,3,PH,1579910016,81,12.68,124.36,79.66,7.9
santiago del estero,0,AR,1579909996,36,-27.8,-64.26,79.99,5.57
mitu,100,CO,1579910016,89,1.2,-70.17,77.36,2.57
poyarkovo,0,RU,1579910016,87,49.6,128.68,-12.75,3.04
kingston,20,JM,1579909759,65,18.0,-76.79,80.6,6.93
sabha,60,LY,1579910017,20,27.04,14.43,55.74,8.46
teresopolis,75,BR,1579910017,88,-22.41,-42.97,75.2,9.17
pestravka,100,RU,1579910017,94,52.41,49.96,20.21,18.99
preston,90,GB,1579910018,100,53.77,-2.72,45.0,1.12
anloga,11,GH,1579910018,78,5.79,0.9,77.0,5.37
kiunga,92,PG,1579910018,93,-6.12,141.29,80.46,0.27
katsuura,75,JP,1579910018,69,35.13,140.3,46.99,10.29
kununurra,75,AU,1579910019,84,-15.77,128.73,87.8,1.12
itaunja,18,IN,1579910019,100,27.08,80.92,46.4,2.26
faya,1,SA,1579910019,87,18.39,42.45,50.0,4.7
cristobal obregon,20,MX,1579910019,57,16.35,-93.53,78.8,25.28
madimba,92,TZ,1579910019,90,-10.4,40.33,76.37,3.53
egvekinot,60,RU,1579910020,96,66.32,-179.17,-9.36,1.12
ahipara,0,NZ,1579909858,61,-35.17,173.17,93.99,1.99
price,90,US,1579910021,86,39.6,-110.81,37.99,1.12
uyemskiy,90,RU,1579910021,92,64.47,40.85,15.8,6.71
jining,94,CN,1579910021,53,35.41,116.58,36.45,1.39
airai,73,TL,1579910021,75,-8.93,125.41,74.84,2.35
bima,14,ID,1579909538,85,-8.47,118.72,78.17,2.64
caravelas,100,BR,1579909437,81,-17.71,-39.25,79.61,28.01
besikduzu,40,TR,1579910021,47,41.05,39.23,37.4,17.22
abha,82,SA,1579909819,87,18.22,42.51,50.0,4.7
mangan,0,IN,1579910022,21,27.52,88.53,32.2,6.2
tobol,0,KZ,1579910022,89,52.68,62.58,2.1,11.23
teknaf,23,BD,1579910022,58,20.86,92.31,50.49,2.64
thongwa,70,MM,1579910022,88,16.76,96.53,64.4,2.24
charters towers,97,AU,1579910023,59,-20.1,146.27,85.62,3.96
antofagasta,40,CL,1579909862,73,-23.65,-70.4,75.2,10.29
getulio vargas,0,UY,1579910023,79,-32.68,-53.55,69.91,9.57
roma,1,US,1579909468,51,43.21,-75.46,41.0,8.05
san pedro,90,PH,1579909729,88,14.35,121.02,77.0,4.7
swellendam,0,ZA,1579910024,88,-34.02,20.44,68.0,2.28
acarau,69,BR,1579910024,76,-2.89,-40.12,79.23,5.88
viedma,69,AR,1579910024,34,-40.81,-63.0,70.84,14.12
ambilobe,100,MG,1579910024,94,-13.2,49.05,73.85,2.77
batemans bay,97,AU,1579909813,77,-35.72,150.18,71.01,3.0
